Ayah,Timing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3028,0-8150,0-8150,0-8150,0-8150,8150-11677,11677-18443,11677-18443,11677-18443,18443-22440,18443-22440,22440-25000,25000-27560,27560-30956,27560-30956,30956-32758,32758-35370,35370-37799,37799-41561,37799-41561,41561-44147,44147-47438,47438-52610,47438-52610,52610-54987,54987-61596,54987-61596,54987-61596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029,0-1750,1750-5930,1750-5930,5930-7915,7915-10005,10005-13114,13114-14707,14707-17685,17685-22648,17685-22648,22648-25600,25600-27794,27794-31556,27794-31556,31556-33672,33672-35892,33672-35892,35892-38844,38844-41143,41143-43259,43259-48954,43259-48954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030,0-2429,2429-4728,4728-6896,6896-10814,6896-10814,10814-13270,13270-15125,15125-22335,15125-22335,15125-22335,15125-22335,22335-28996,22335-28996,22335-28996,28996-30798,30798-33880,33880-36832,36832-40123,40123-44903,40123-44903,44903-50258,44903-50258,50258-52583,52583-55456,55456-62274,55456-62274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,0-1698,1698-6008,1698-6008,6008-10475,6008-10475,10475-14289,14289-18860,14289-18860,18860-22439,18860-22439,22439-25469,25469-28578,28578-34247,28578-34247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3032,0-1855,1855-5799,1855-5799,5799-10031,10031-14446,10031-14446,14446-18782,14446-18782,18782-25443,18782-25443,18782-25443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3033,0-5146,0-5146,0-5146,5146-7575,7575-12591,7575-12591,12591-16248,16248-18991,18991-21917,21917-27429,21917-27429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3034,0-6008,0-6008,6008-9143,6008-9143,9143-12069,12069-14733,14733-18312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3035,0-1515,1515-5146,1515-5146,5146-8228,8228-10370,10370-13583,13583-16274,16274-18050,18050-20009,20009-21968,21968-24554,24554-30170,24554-30170,30170-33540,33540-36936,36936-44303,36936-44303,36936-44303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3036,0-3814,3814-6949,6949-9196,9196-11364,11364-14342,14342-17477,17477-20455,20455-23459,23459-25915,25915-28292,28292-30486,30486-34352,30486-34352,34352-37957,37957-41457,41457-45454,45454-47988,47988-51567,51567-54676,54676-56818,56818-60815,60815-67293,60815-67293,60815-67293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037,0-3788,3788-6609,6609-9848,9848-15621,9848-15621,15621-18494,18494-23614,18494-23614,23614-26723,26723-29309,29309-31712,31712-34559,34559-39548,34559-39548,39548-41873,41873-45556,45556-48168,48168-50310,50310-53575,53575-56762,56762-58852,58852-61334,61334-63633,63633-65697,65697-67682,67682-72671,67682-72671,72671-77164,72671-77164,77164-79672,79672-83982,79672-83982,83982-86516,86516-90304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3038,0-2717,2717-5068,5068-8621,8621-10815,10815-12905,12905-15178,15178-16902,16902-18861,18861-22675,18861-22675,22675-28526,22675-28526,28526-31922,31922-37408,31922-37408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3039,0-6583,0-6583,6583-8960,8960-14550,8960-14550,14550-18129,14550-18129,18129-21995,18129-21995,21995-25548,25548-28787,28787-36728,28787-36728,28787-36728,28787-36728,36728-49554,36728-49554,36728-49554,36728-49554,36728-49554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,0-2325,2325-4545,4545-7915,7915-11206,11206-15150,15150-19251,15150-19251,19251-22516,19251-22516,22516-24919,24919-27113,24919-27113,27113-31240,27113-31240,31240-33878,33878-36020,36020-39834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3041,0-2299,2299-5956,2299-5956,2299-5956,5956-8072,8072-10345,10345-13375,13375-19488,13375-19488,13375-19488,19488-22518,22518-25391,25391-27873,27873-30198,30198-33855,30198-33855,33855-38583,33855-38583,38583-41665,41665-46445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,0-1959,1959-7863,1959-7863,7863-11128,11128-16535,11128-16535,11128-16535,16535-19879,19879-22961,22961-25364,25364-31947,25364-31947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,0-4101,0-4101,4101-7079,7079-9822,9822-12695,12695-17815,12695-17815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3044,0-2769,2769-4780,4780-10814,4780-10814,10814-14105,14105-17632,17632-21603,17632-21603,21603-24189,24189-25782,25782-28786,28786-32156,32156-34847,34847-37355,37355-39941,39941-43833,39941-43833,43833-46733,46733-48353,48353-54022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045,0-1907,1907-7706,1907-7706,7706-10815,10815-14681,10815-14681,14681-17816,17816-25156,17816-25156,17816-25156,17816-25156,25156-28082,25156-28082,28082-30799,30799-36023,30799-36023,30799-36023,36023-39732,39732-45636,39732-45636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3046,0-5068,0-5068,5068-7915,5068-7915,7915-15699,7915-15699,7915-15699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,0-2142,2142-4571,4571-7836,7836-11049,11049-17292,17292-19434,17292-19434,17292-19434,19434-21550,19434-21550,21550-25677,21550-25677,25677-28211,28211-30066,30066-33436,33436-35500,35500-37773,37773-43233,37773-43233,43233-45767,45767-47961,47961-53238,47961-53238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3048,0-5303,0-5303,5303-8438,8438-12095,12095-16980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3049,0-3004,3004-4989,4989-7340,7340-11232,11232-14419,14419-16117,16117-23719,16117-23719,16117-23719,16117-23719,23719-26880,26880-29362,29362-33933,29362-33933,29362-33933,33933-37982,33933-37982,37982-41613,41613-43938,43938-46759,46759-52976,46759-52976,46759-52976,52976-57156,52976-57156,57156-60317,60317-64314,60317-64314,64314-68833,64314-68833,68833-73927,68833-73927,73927-77088,77088-79517,79517-82808,82808-84637,84637-87719,87719-90566,90566-92421,92421-95033,95033-98742,95033-98742,98742-106318,98742-106318,98742-106318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,0-4258,0-4258,4258-6505,6505-9039,9039-13166,9039-13166,13166-16275,16275-21055,16275-21055,16275-21055,21055-23615,23615-26253,26253-33855,26253-33855,26253-33855,26253-33855,33855-37538,33855-37538,37538-41953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3051,0-3918,0-3918,3918-6609,6609-9953,9953-13767,13767-16092,16092-22779,16092-22779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,0-3082,3082-5407,5407-7889,7889-11546,7889-11546,11546-13793,13793-15726,15726-19357,19357-22857,19357-22857,22857-27873,22857-27873,27873-30433,30433-35292,30433-35292,35292-38923,38923-42005,42005-44173,44173-47386,47386-51618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3053,0-2795,2795-6269,6269-8620,8620-12042,12042-16587,12042-16587,16587-19696,19696-24738,19696-24738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,0-2769,2769-7053,2769-7053,7053-9900,9900-15751,9900-15751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3055,0-1724,1724-5120,1724-5120,5120-8516,8516-11416,11416-15047,15047-18182,18182-20664,20664-24034,24034-27404,24034-27404,27404-29546,29546-35920,29546-35920,29546-35920,35920-39656,35920-39656,39656-41903,41903-43941,43941-47807,43941-47807,47807-50367,50367-52927,52927-55905,55905-58674,58674-61626,61626-64108,64108-67295,67295-69672,69672-73878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3056,0-4493,0-4493,4493-6766,6766-10110,10110-17398,10110-17398,10110-17398,10110-17398,17398-20768,20768-28944,20768-28944,20768-28944,20768-28944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3057,0-4519,0-4519,4519-7053,7053-11964,7053-11964,11964-15491,15491-18417,18417-21473,21473-27795,21473-27795,21473-27795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,0-2508,2508-5486,5486-8333,8333-12199,8333-12199,12199-17737,12199-17737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,0-2508,2508-5172,5172-7549,7549-11258,7549-11258,11258-13818,13818-15934,15934-18781,18781-24763,18781-24763,18781-24763,24763-26853,26853-28943,28943-33906,28943-33906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,0-2638,2638-5538,2638-5538,5538-12983,5538-12983,5538-12983,5538-12983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3061,0-1881,1881-6923,6923-9065,9065-12539,9065-12539,12539-14315,14315-17789,17789-20924,17789-20924,20924-22962,22962-25470,25470-27847,27847-31948,31948-35997,35997-39785,39785-43573,43573-47387,47387-51149,51149-54336,54336-57236,57236-62617,57236-62617,57236-62617,62617-67998,62617-67998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,0-2926,2926-5434,5434-9875,5434-9875,5434-9875,9875-12043,12043-13898,13898-16484,16484-20455,16484-20455,20455-24896,20455-24896,24896-31818,24896-31818,24896-31818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3063,0-4023,0-4023,4023-8229,4023-8229,8229-14864,8229-14864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3064,0-1724,1724-6295,1724-6295,6295-8777,8777-10710,10710-17450,10710-17450,10710-17450,17450-20428,20428-23902,20428-23902,23902-27402,23902-27402,27402-30746,27402-30746,30746-33097,33097-38766,33097-38766,33097-38766,38766-41378,41378-43990,43990-51383,43990-51383,43990-51383,43990-51383,51383-55484,51383-55484,55484-59011,55484-59011,59011-62668,62668-66351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3065,0-4441,0-4441,4441-6296,6296-12226,12226-14133,14133-17398,17398-19566,17398-19566,17398-19566,19566-24790,24790-29074,29074-31059,29074-31059,31059-36048,31059-36048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3066,0-3344,3344-7759,7759-10737,10737-13036,13036-16876,13036-16876,16876-20977,16876-20977,20977-26776,26776-28970,28970-31034,31034-34743,31034-34743,34743-36545,36545-39497,39497-42083,42083-45218,45218-49789,45218-49789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3067,0-3030,0-3030,3030-6348,6348-18547,6348-18547,6348-18547,6348-18547,6348-18547,18547-26123,18547-26123,18547-26123,18547-26123,26123-31139,26123-31139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3068,0-2534,2534-6557,2534-6557,6557-10423,10423-15256,10423-15256,15256-20063,15256-20063,20063-23067,23067-25549,25549-28475,28475-33987,28475-33987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3069,0-7210,0-7210,0-7210,7210-10946,7210-10946,10946-12931,12931-16327,16327-20428,16327-20428,20428-22675,22675-26228,26228-31505,26228-31505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3070,0-4232,0-4232,4232-6139,6139-9274,9274-13558,9274-13558,13558-16954,16954-21186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3071,0-4389,0-4389,4389-6322,6322-10632,6322-10632,10632-14132,14132-18677,14132-18677,18677-21968,21968-26853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072,0-6400,0-6400,0-6400,6400-9953,6400-9953,9953-12487,12487-15125,15125-18129,18129-21577,18129-21577,21577-23928,23928-28447,23928-28447,28447-31033,31033-33802,33802-36623,36623-40437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3073,0-3788,0-3788,3788-5904,5904-9744,5904-9744,9744-12539,12539-14002,14002-17685,14002-17685,17685-20454,17685-20454,20454-23589,20454-23589,23589-27325,23589-27325,27325-29127,29127-31896,31896-33333,33333-38871,38871-41771,41771-44227,44227-45873,45873-49478,45873-49478,49478-52874,49478-52874,52874-55617,55617-59849,55617-59849,59849-62827,62827-65361,65361-68574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074,0-2638,2638-6060,6060-10449,6060-10449,10449-13087,13087-18573,13087-18573,13087-18573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3075,0-1959,1959-5564,1959-5564,5564-7236,7236-10867,7236-10867,10867-17032,10867-17032,17032-19331,19331-23067,19331-23067,23067-27011,23067-27011,27011-32444,27011-32444,27011-32444,32444-34743,34743-36937,36937-39837,36937-39837,39837-42371,42371-45689,45689-48171,48171-51776,51776-54336,54336-56530,56530-59247,59247-63609,59247-63609,63609-68964,63609-68964,68964-73300,68964-73300,68964-73300,73300-75311,75311-79334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3076,0-2168,2168-3918,3918-6165,6165-9404,9404-12251,12251-16326,12251-16326,16326-21733,16326-21733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3077,0-4049,0-4049,4049-7105,7105-10475,7105-10475,10475-14106,14106-18495,14106-18495,18495-21708,21708-24999,21708-24999,24999-27063,27063-30145,27063-30145,30145-35474,30145-35474,30145-35474,35474-39236,35474-39236,39236-41692,41692-45506,41692-45506,45506-49607,45506-49607,49607-51906,51906-54518,54518-57836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3078,0-2926,2926-5016,5016-10058,5016-10058,10058-15909,10058-15909,15909-19227,19227-22309,19227-22309,22309-25156,22309-25156,25156-28447,25156-28447,28447-31791,31791-33515,33515-35265,35265-38922,35265-38922,38922-41665,38922-41665,41665-43311,43311-47047,43311-47047,47047-50417,50417-54466,50417-54466,50417-54466,54466-56451,56451-60317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079,0-2821,0-2821,2821-5198,5198-12538,5198-12538,5198-12538,5198-12538,12538-15176,15176-19120,19120-21889,21889-24397,24397-27715,27715-29674,29674-33201,29674-33201,33201-37694,33201-37694,33201-37694,37694-42344,37694-42344,42344-46628,46628-48770,48770-51826,51826-56450,51826-56450,56450-58749,58749-61675,61675-65489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080,0-3944,0-3944,3944-10631,3944-10631,3944-10631,10631-14602,14602-17319,17319-22805,17319-22805,22805-25104,25104-26619,26619-32758,26619-32758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3081,0-1985,1985-5198,1985-5198,5198-10527,5198-10527,10527-12565,12565-23406,12565-23406,12565-23406,12565-23406,12565-23406,23406-26854,26854-32653,26854-32653,26854-32653,32653-35239,35239-39236,39236-41352,41352-46080,46080-48300,48300-51278,51278-54047,54047-56294,56294-59141,59141-61257,61257-63791,63791-67030,67030-69120,69120-71628,71628-73718,73718-80379,73718-80379,73718-80379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3082,0-4206,0-4206,4206-6662,6662-9170,9170-12958,12958-17947,12958-17947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3083,0-2717,2717-6322,2717-6322,6322-9065,9065-11599,11599-14290,14290-19201,14290-19201,14290-19201,19201-21865,21865-28631,21865-28631,21865-28631,28631-33072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3084,0-1593,1593-5015,5015-7967,7967-10031,10031-13375,13375-16222,16222-18364,18364-21499,21499-23615,23615-26802,26802-30329,30329-33673,33673-36808,36808-39943,39943-41981,41981-44280,44280-46683,46683-49556,49556-53683,53683-56661,53683-56661,56661-59717,56661-59717,59717-61702,61702-65751,61702-65751,65751-68651,68651-70636,70636-74633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3085,0-4023,0-4023,4023-8516,4023-8516,8516-14106,8516-14106,8516-14106,14106-16039,16039-18077,18077-21055,18077-21055,21055-25835,21055-25835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,0-1985,1985-5512,1985-5512,5512-9822,5512-9822,9822-11912,11912-14759,14759-17554,17554-21786,17554-21786,21786-30380,21786-30380,21786-30380,30380-32914,32914-40098,32914-40098,32914-40098,32914-40098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3087,0-3892,3892-7810,7810-10292,10292-13087,13087-16561,13087-16561,16561-20819,20819-23928,23928-28186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3088,0-3396,3396-5747,5747-9012,5747-9012,9012-12904,9012-12904,12904-15464,12904-15464,15464-19905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3089,0-3579,0-3579,3579-5930,5930-9195,5930-9195,9195-11520,11520-14576,14576-18756,14576-18756,18756-23798,18756-23798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090,0-4049,0-4049,4049-6217,6217-8359,8359-11389,11389-15229,11389-15229,15229-20166,15229-20166,15229-20166,20166-22674,22674-26383,26383-33697,26383-33697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3091,0-4153,0-4153,4153-6530,6530-9430,9430-11494,11494-17502,11494-17502,11494-17502,17502-19095,19095-24711,19095-24711,19095-24711,24711-29831,24711-29831,24711-29831,29831-31189,31189-34872,34872-36805,36805-39313,39313-49213,39313-49213,39313-49213,39313-49213,39313-49213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
